# Wavelength	Flux_normalized	Order
3806.28000000 2.30481034 5
3806.31000000 2.01734608 5
3806.34000000 1.57800015 5
3806.37000000 1.32511563 5
3806.40000000 1.27793508 5
3806.43000000 1.27662164 5
3806.46000000 1.06078604 5
3806.49000000 0.80808007 5
3806.52000000 0.53807324 5
3806.55000000 0.47931628 5
3806.58000000 0.62628662 5
3806.61000000 0.66765042 5
3806.64000000 0.86870113 5
3806.67000000 0.93207570 5
3806.70000000 0.95044248 5
3806.73000000 1.05339381 5
3806.76000000 1.30990352 5
3806.79000000 1.64056247 5
3806.82000000 1.71984286 5
3806.85000000 1.63819497 5
3806.88000000 1.40972563 5
3806.91000000 0.95481357 5
3806.94000000 0.68170697 5
3806.97000000 0.62295291 5
3807.00000000 0.71720718 5
3807.03000000 0.92719456 5
3807.06000000 1.19866235 5
3807.09000000 1.04470974 5
3807.12000000 0.81241715 5
3807.15000000 0.63697402 5
3807.18000000 0.61710606 5
3807.21000000 0.84089691 5
3807.24000000 1.47224494 5
3807.27000000 2.38641341 5
3807.30000000 3.18740771 5
3807.33000000 3.62308369 5
3807.36000000 3.59496744 5
3807.39000000 3.03757085 5
3807.42000000 2.16450808 5
3807.45000000 1.50750683 5
3807.48000000 1.15145878 5
3807.51000000 0.93146336 5
3807.54000000 1.00033702 5
3807.57000000 1.19048293 5
3807.60000000 1.29882249 5
3807.63000000 1.34681542 5
3807.66000000 1.44860398 5
3807.69000000 1.56545916 5
3807.72000000 1.77787950 5
3807.75000000 2.07839121 5
3807.78000000 2.13557358 5
3807.81000000 1.77086433 5
3807.84000000 1.67268795 5
3807.87000000 1.47541495 5
3807.90000000 1.10910430 5
3807.93000000 0.81244829 5
3807.96000000 0.73232360 5
3807.99000000 0.49391213 5
3808.02000000 0.33661853 5
3808.05000000 0.36356380 5
3808.08000000 0.46276884 5
3808.11000000 0.56835397 5
3808.14000000 0.85462971 5
3808.17000000 1.03473619 5
3808.20000000 1.28841583 5
3808.23000000 1.49438294 5
3808.26000000 1.59517642 5
3808.29000000 1.76497104 5
3808.32000000 1.72356209 5
3808.35000000 1.81155109 5
3808.38000000 1.98319072 5
3808.41000000 2.07781798 5
3808.44000000 1.95604227 5
3808.47000000 2.15420040 5
3808.50000000 2.28005209 5
3808.53000000 2.33892337 5
3808.56000000 2.39091011 5
3808.59000000 2.46326216 5
3808.62000000 2.46324915 5
3808.65000000 2.19161045 5
3808.68000000 1.91052967 5
3808.71000000 1.80126635 5
3808.74000000 1.87921026 5
3808.77000000 2.08177958 5
3808.80000000 2.22629893 5
3808.83000000 2.20588878 5
3808.86000000 2.04521705 5
3808.89000000 1.83189061 5
3808.92000000 1.45363936 5
3808.95000000 1.32352343 5
3808.98000000 1.27605884 5
3809.01000000 1.22503616 5
3809.04000000 1.15849761 5
3809.07000000 1.05224623 5
3809.10000000 0.92482140 5
3809.13000000 0.67809997 5
3809.16000000 0.50913043 5
3809.19000000 0.60087662 5
3809.22000000 0.66521359 5
3809.25000000 0.97791360 5
3809.28000000 1.08238683 5
3809.31000000 1.08627363 5
3809.34000000 1.19213571 5
3809.37000000 1.28648348 5
3809.40000000 1.39950704 5
3809.43000000 1.21833557 5
3809.46000000 0.93572967 5
3809.49000000 0.84646410 5
3809.52000000 1.11263644 5
3809.55000000 1.63758881 5
3809.58000000 2.05475782 5
3809.61000000 2.20188411 5
3809.64000000 1.98513904 5
3809.67000000 1.38192119 5
3809.70000000 0.87831570 5
3809.73000000 0.64494076 5
3809.76000000 0.64951714 5
3809.79000000 0.79685858 5
3809.82000000 1.00491477 5
3809.85000000 1.41061501 5
3809.88000000 2.18972573 5
3809.91000000 2.83937298 5
3809.94000000 3.10388578 5
3809.97000000 3.02047321 5
3810.00000000 2.64756423 5
3810.03000000 2.35711323 5
3810.06000000 2.28608141 5
3810.09000000 2.35919690 5
3810.12000000 2.40172518 5
3810.15000000 2.35141364 5
3810.18000000 1.97247515 5
3810.21000000 1.44646463 5
3810.24000000 1.00969770 5
3810.27000000 0.79790313 5
3810.30000000 0.65522725 5
3810.33000000 0.61036363 5
3810.36000000 0.66207796 5
3810.39000000 0.83820563 5
3810.42000000 1.05147168 5
3810.45000000 1.01459222 5
3810.48000000 1.18258543 5
3810.51000000 1.26748721 5
3810.54000000 1.35513519 5
3810.57000000 1.50092191 5
3810.60000000 1.58888199 5
3810.63000000 1.45751899 5
3810.66000000 1.48076810 5
3810.69000000 1.66153797 5
3810.72000000 1.96974734 5
3810.75000000 2.37854277 5
3810.78000000 2.69426643 5
3810.81000000 2.54337558 5
3810.84000000 2.12513718 5
3810.87000000 1.71575051 5
3810.90000000 1.52938934 5
3810.93000000 1.50214420 5
3810.96000000 1.61952044 5
3810.99000000 1.76157472 5
3811.02000000 1.87416924 5
3811.05000000 1.92411898 5
